sirna_id,gene_symbol,ncbi_gene_id,source
s29114,EXOSC4,,thermofisher
s29116,DDX4,,thermofisher
s29162,ROBO4,,thermofisher
s29185,SDK2,,thermofisher
s29187,NECAB2,,thermofisher
s29190,GNL3L,,thermofisher
s29200,DDX49,,thermofisher
s29230,EGLN1,,thermofisher
s29254,DDX56,,thermofisher
s29266,ARL15,,thermofisher
s29270,PARP14,,thermofisher
s29274,HES2,,thermofisher
s29280,MINDY2,,thermofisher
s29285,UGT1A1,,thermofisher
s29291,TBC1D13,,thermofisher
s29303,LRRN3,,thermofisher
s29309,GTPBP2,,thermofisher
s29313,CROT,,thermofisher
s29334,MARCHF5,,thermofisher
s29340,RBFOX1,,thermofisher
s29342,SLC6A20,,thermofisher
s29345,BTN2A3P,,thermofisher
s29367,FEV,,thermofisher
s29371,LEPROT,,thermofisher
s29406,ZRANB1,,thermofisher
s29419,DIRAS2,,thermofisher
s29428,RNF111,,thermofisher
s29452,BNC2,,thermofisher
s2947,CFTR,,thermofisher
s29470,TRIT1,,thermofisher
s29500,QPCTL,,thermofisher
s29502,GATAD2A,,thermofisher
s29524,CDHR2,,thermofisher
s29535,ASPN,,thermofisher
s29560,APTX,,thermofisher
s29602,GDPD2,,thermofisher
s317,EBP,,thermofisher
s348,VAV3,,thermofisher
s35651,GNPTAB,,thermofisher
s35961,EFL1,,thermofisher
s35966,FAT4,,thermofisher
s35988,ARSJ,,thermofisher
s35991,CHMP6,,thermofisher
s35994,SRD5A3,,thermofisher
s36029,ARHGAP10,,thermofisher
s36038,,,UNRESOLVED
s36046,DHX40,,thermofisher
s36091,ZDHHC14,,thermofisher
s36107,QTRT2,,thermofisher
s36117,GALNT12,,thermofisher
s36128,ZMAT4,,thermofisher
s36151,MORC4,,thermofisher
s36153,IPO4,,thermofisher
s36156,GTDC1,,thermofisher
s36168,PPCS,,thermofisher
s36196,LIN28A,,thermofisher
s36208,NARS2,,thermofisher
s36227,TTLL7,,thermofisher
s36243,ECHDC3,,thermofisher
s36252,ZNF385D,,thermofisher
s36255,SLC25A22,,thermofisher
s36260,ZFAND1,,thermofisher
s36272,DHRS12,,thermofisher
s36286,ELMO3,,thermofisher
s36323,MYH14,,thermofisher
s36346,ALG9,,thermofisher
s36386,SLTM,,thermofisher
s36390,EHMT1,,thermofisher
s36401,MOB3B,,thermofisher
s36426,NAA40,,thermofisher
s36460,AGBL2,,thermofisher
s36468,ZDHHC11,,thermofisher
s36489,EPHX3,,thermofisher
s36504,TUBAL3,,thermofisher
s36529,CPSF7,,thermofisher
s36538,CBLL1,,thermofisher
s36544,RABEP2,,thermofisher
s36550,UBA5,,thermofisher
s36560,PODNL1,,thermofisher
s36566,HDAC11,,thermofisher
s36577,LPCAT1,,thermofisher
s36595,ATP8B4,,thermofisher
s36596,THNSL1,,thermofisher
s36609,,,UNRESOLVED
s36629,ACTR5,,thermofisher
s36651,NANOGP1,,thermofisher
s36675,SYNPO2L,,thermofisher
s36684,CNTNAP3P2,,thermofisher
s36691,L2HGDH,,thermofisher
s36698,DHDDS,,thermofisher
s36717,PAQR6,,thermofisher
s36733,SCD5,,thermofisher
s36819,PHC3,,thermofisher
s36837,FOXRED2,,thermofisher
s36846,SLC8B1,,thermofisher
s36853,SEMA6D,,thermofisher
s36915,BICC1,,thermofisher
s36916,ARL14,,thermofisher
s36921,PIF1,,thermofisher
s36936,TRIM46,,thermofisher
s36951,PTGES2,,thermofisher
s36965,UXS1,,thermofisher
s36985,NAA15,,thermofisher
s36989,PGGHG,,thermofisher
s37010,SPSB1,,thermofisher
s37036,RNF34,,thermofisher
s37040,MUS81,,thermofisher
s37050,CHD9,,thermofisher
s37078,NAA50,,thermofisher
s37095,NUBPL,,thermofisher
s37096,PAAF1,,thermofisher
s37115,PIGZ,,thermofisher
s37122,PREX2,,thermofisher
s37140,TRIM45,,thermofisher
s37144,EDEM3,,thermofisher
s37149,HSD3B7,,thermofisher
s37182,FLAD1,,thermofisher
s37188,PDGFD,,thermofisher
s37205,ZKSCAN3,,thermofisher
s37207,GKAP1,,thermofisher
s37253,PNPLA3,,thermofisher
s37261,SEL1L2,,thermofisher
s37284,RNF39,,thermofisher
s37295,SLC19A3,,thermofisher
s37305,ESX1,,thermofisher
s37314,ACAD10,,thermofisher
s37346,THUMPD2,,thermofisher
s37347,TSEN2,,thermofisher
s37376,STARD5,,thermofisher
s37382,LIMD2,,thermofisher
s37388,CYB5B,,thermofisher
s37414,DDHD1,,thermofisher
s37424,ZFP91,,thermofisher
s37429,APOL5,,thermofisher
s37433,APOL4,,thermofisher
s37434,APOL3,,thermofisher
s37451,SETD7,,thermofisher
s37471,NPL,,thermofisher
s37479,TUBB1,,thermofisher
s37483,WNT5B,,thermofisher
s37489,SLC2A10,,thermofisher
s37498,COLEC12,,thermofisher
s37564,PTDSS2,,thermofisher
s37581,MOB2,,thermofisher
s37586,ITFG1,,thermofisher
s37597,LRRC3,,thermofisher
s37601,GDPD5,,thermofisher
s37634,TRIM11,,thermofisher
s37649,TXNDC5,,thermofisher
s37668,GFOD2,,thermofisher
s37673,COL21A1,,thermofisher
s37678,CDADC1,,thermofisher
s37691,NECTIN4,,thermofisher
s37706,NIPA2,,thermofisher
s37712,ACSBG2,,thermofisher
s37765,REXO5,,thermofisher
s37782,TIGD6,,thermofisher
s37793,TLR10,,thermofisher
s37799,SLCO5A1,,thermofisher
s37805,NETO2,,thermofisher
s37808,NETO1,,thermofisher
s37827,ST6GALNAC5,,thermofisher
s37855,ARPC5L,,thermofisher
s37866,QTRT1,,thermofisher
s37874,SLC25A28,,thermofisher
s37894,PITPNM3,,thermofisher
s37896,ELOVL3,,thermofisher
s37898,FCRL5,,thermofisher
s37901,FCRL4,,thermofisher
s37904,TCF7L1,,thermofisher
s37926,SLC25A31,,thermofisher
s37951,GLT8D2,,thermofisher
s37961,,,UNRESOLVED
s37964,PUS3,,thermofisher
s37967,EPPK1,,thermofisher
s37969,SCRT1,,thermofisher
s37979,CHST9,,thermofisher
s37990,DNAL1,,thermofisher
s37997,RILP,,thermofisher
s380,AGMAT,,thermofisher
s38011,MFRP,,thermofisher
s38015,THAP2,,thermofisher
s38018,AKR1E2,,thermofisher
s38022,RASSF5,,thermofisher
s38069,SELENOO,,thermofisher
s38081,DYNLRB2,,thermofisher
s38087,TEKT1,,thermofisher
s38090,TLN2,,thermofisher
s38093,MS4A8,,thermofisher
s38095,PARP9,,thermofisher
s38106,HSDL1,,thermofisher
s38120,SLC4A9,,thermofisher
s38133,TRPT1,,thermofisher
s38139,ESPN,,thermofisher
s38152,INHBE,,thermofisher
s38165,ITCH,,thermofisher
s38190,RBP5,,thermofisher
s38193,RBM4B,,thermofisher
s38221,ANGPTL6,,thermofisher
s38228,FSD1L,,thermofisher
s38230,TMTC1,,thermofisher
s38249,HMCN1,,thermofisher
s38253,TBC1D10A,,thermofisher
s38258,BCO2,,thermofisher
s38273,SLC25A2,,thermofisher
s38290,SNX25,,thermofisher
s38294,KCTD10,,thermofisher
s383,VPS29,,thermofisher
s38314,KRTAP93,,thermofisher
s38334,HDAC10,,thermofisher
s38370,SPNS1,,thermofisher
s38384,BRIP1,,thermofisher
s38395,KREMEN1,,thermofisher
s38404,OBSCN,,thermofisher
s38409,KATNAL1,,thermofisher
s38470,TKTL2,,thermofisher
s38490,RAB6C,,thermofisher
s38494,ARL6,,thermofisher
s38521,ZNF394,,thermofisher
s38533,ACAD11,,thermofisher
s38545,TOMM40L,,thermofisher
s38598,ANTXR1,,thermofisher
s38601,LOXL4,,thermofisher
s38604,POLR1B,,thermofisher
s38627,FAR1,,thermofisher
s38630,SLITRK6,,thermofisher
s38649,TXNDC2,,thermofisher
s38653,MEX3B,,thermofisher
s38736,SLC37A3,,thermofisher
s38759,HSDL2,,thermofisher
s38789,SLC25A33,,thermofisher
s38801,BTBD10,,thermofisher
s38808,RNF135,,thermofisher
s38848,PHF6,,thermofisher
s3887,CYP27A1,,thermofisher
s38880,ZNF397,,thermofisher
s38917,THOC3,,thermofisher
s38956,COG8,,thermofisher
s38964,ARFGAP2,,thermofisher
s38965,NIFK,,thermofisher
s38988,CARD11,,thermofisher
s39003,RAB11FIP4,,thermofisher
s39020,SYVN1,,thermofisher
s39023,ABLIM2,,thermofisher
s39044,LCOR,,thermofisher
s39046,ZMAT1,,thermofisher
s39061,FBN3,,thermofisher
s39068,SPIRE2,,thermofisher
s39083,MCM8,,thermofisher
s39091,ACTRT3,,thermofisher
s39112,RHOXF2,,thermofisher
s39123,ACSS1,,thermofisher
s39151,PARD6G,,thermofisher
s39156,MAP1LC3A,,thermofisher
s39161,SLC12A8,,thermofisher
s39170,GNPTG,,thermofisher
s39171,PARD6B,,thermofisher
s39180,TUBB6,,thermofisher
s39185,NT5C1A,,thermofisher
s39194,KIRREL3,,thermofisher
s39216,SLITRK2,,thermofisher
s39233,MFSD14B,,thermofisher
s39238,KIF2B,,thermofisher
s39244,PLA2G12B,,thermofisher
s39246,DGAT2,,thermofisher
s39248,EBPL,,thermofisher
s39253,SPINK7,,thermofisher
s39258,GLYR1,,thermofisher
s39264,RNASE7,,thermofisher
s39284,HES7,,thermofisher
s39296,CARD6,,thermofisher
s39299,TRIM55,,thermofisher
s39303,TRIM63,,thermofisher
s39308,SLC9A7,,thermofisher
s39312,ACCS,,thermofisher
s39347,ABHD1,,thermofisher
s39356,MYO18B,,thermofisher
s39366,GPT2,,thermofisher
s39377,HDGFL2,,thermofisher
s39380,PIGO,,thermofisher
s39389,SPSB2,,thermofisher
s394,CCNI,,thermofisher
s39402,POFUT3,,thermofisher
s39418,TRIM51,,thermofisher
s39443,GPAT3,,thermofisher
s39448,MFSD9,,thermofisher
s39458,PLCD4,,thermofisher
s39464,RTN4IP1,,thermofisher
s39469,TXNDC17,,thermofisher
s39491,ABHD14B,,thermofisher
s39512,TRIM52,,thermofisher
s39538,CBR4,,thermofisher
s39547,ZC3H10,,thermofisher
s39556,PARP10,,thermofisher
s4165,DMPK,,thermofisher
s501295,CNGA3,,thermofisher
s501307,ENG,,thermofisher
s501309,FGFR3,,thermofisher
s501323,GRN,,thermofisher
s501339,LRP5,,thermofisher
s501342,MAN2B1,,thermofisher
s501351,PEX13,,thermofisher
s501357,POLG,,thermofisher
s501392,OFD1,,thermofisher
s502431,ATP2C1,,thermofisher
s502432,NF1,,thermofisher
s5459,GAA,,thermofisher
s555,UBE4B,,thermofisher
s633,SLC38A2,,thermofisher
s650,AHCYL1,,thermofisher
s706,PGRMC2,,thermofisher
s7128,IDS,,thermofisher
s766,HEMK1,,thermofisher
s8645,MECP2,,thermofisher
s9,AGPAT1,,thermofisher
